CustomerID,Gender,Age,Marital_Status,Education,Income,Family_Size,Tenure,Date_Joined,Region,TransactionID,ProductID,Product_Name,Product_Category,Quantity,Price_per_Unit,Total_Amount,Date_of_Purchase,Time_of_Purchase,Payment_Mode,Channel,Recency,Frequency,Monetary,Last_Purchase_Date,Preferred_Category,Discount_Availed,Membership_Status,Feedback_Rating,Return_Flag,Device_Used,Campaign_Response
7799,Femael,59,Single,Bachelors,95403,5,9,2021-09-21,East Karen,3a6a22d9-c986-4893-abf5-fc9887972916,28087,Suffer,Books,2,96.96,193.92,2024/07/02,08:19:23,Wallet,In-Store,49,33,9242.26,25-07-2025,Groceries,No,Silver,2,No,Desktop,
5982,Male,65,Widowed,High School,88904,5,11,2025-03-28,Port Kirk,7bf75b57-3a0e-418f-828f-d941ca0d72ce,58745,Fight,Furniture,5,253.57,1267.85,03/23/2025,02:50:47,Debit Card,Online,216,17,5255.6,29-09-2024,Electronics,No,,,Yes,Desktop,Yes
1125,male,32,single,,136494,6,13,2019-01-25,Sierraberg,53ffd3a2-4a19-4501-8169-b9fcc3a00c6f,25726,Account,Toys,4,448.53,1794.12,24 Aug 2024,03:16:48,Wallet,Online,352,9,3511.09,17-01-2025,Clothing,Yes,,3,No,Mobile,No
3444,M,68,Widowed,PhD,108898,4,3,2020-09-09,Whiteside,39b02e2a-d96e-484f-bdb0-174e7938878a,49418,Toward,Furniture,1,228.36,228.36,2025/02/03,21:10:09,UPI,In-Store,164,10,1715.78,11-06-2025,Groceries,Yes,None,5,No,Desktop,Yes
7814,M,27,single,Bachelors,98887,1,3,2024-10-29,Davisbury,54f6516e-a9d0-49dc-b69e-5af8e22649ee,53393,Herself,Electronics,2,258.47,516.94,2024/03/19,11:41:07,Wallet,In-Store,203,4,335.69,22-05-2025,Furniture,No,Gold,1,Yes,Desktop,
2310,F,52,Widowed,,83088,6,2,2021-09-15,Grayfort,9c014262-815a-4a5d-ac35-e33c70fe05a1,66810,Soon,Books,3,327.48,982.44,03 Dec 2023,00:08:36,Wallet,Online,50,39,2439.88,06-02-2025,Toys,Yes,Gold,1,No,Desktop,
1750,Femael,23,Widowed,Masters,124282,2,9,2019-09-19,North Gerald,d21bf733-4ead-48d3-a797-f3ae0cca0c05,22752,Loss,Electronics,5,42.1,210.5,20-11-2024,12:11:10,UPI,Online,312,20,6745.23,23-06-2025,Clothing,Yes,Bronze,,No,Desktop,
2463,male,46,single,PhD,61230,3,12,2017-05-01,West Michaelport,d038e153-c601-418b-a1fa-01ba231ae7c7,27451,Put,Furniture,1,267.3,267.3,10 Jan 2025,15:10:27,Debit Card,In-Store,248,24,1364.81,29-08-2024,Furniture,Yes,Gold,,Yes,Mobile,Yes
3745,Femael,,Widowed,Masters,127381,6,4,2023-06-26,Alvarezfort,ec264a0c-c09f-4c91-b2c0-a0cfbf03b8c2,79798,East,Electronics,5,67.72,338.6,24-05-2024,17:34:21,Wallet,In-Store,211,9,6170.81,04-05-2025,Groceries,No,None,2,No,Desktop,
6642,F,40,single,PhD,42873,2,9,2018-01-06,Kaitlynfurt,fcadb3fd-01a4-42d1-8edf-aa12b2f240e3,32072,Team,Toys,4,449.59,1798.36,19 Aug 2024,05:39:43,Wallet,Online,221,35,4286.03,09-09-2024,Furniture,No,Bronze,2,Yes,Mobile,No
5648,Male,51,single,,144222,5,15,2022-09-02,Schwartzborough,85e9054f-455c-4668-a3cb-9e1824a167fd,69037,Its,Electronics,5,129.47,647.35,2024/02/05,10:29:43,Credit Card,Online,119,8,2395.51,28-03-2025,Groceries,Yes,Bronze,5,Yes,Mobile,
3604,F,46,Married,None,95934,5,12,2016-09-14,Jennafurt,86379f04-d9ee-4dc9-87cf-eca822b9f24c,84537,Air,Toys,2,253.87,507.74,16 Dec 2023,03:52:29,Wallet,In-Store,170,4,8233.83,08-07-2025,Groceries,No,Gold,,No,Mobile,
3738,M,31,single,None,25481,6,1,2024-11-02,Moniqueport,b0377c52-b2ad-4fa6-af79-3d4a457e55cb,57516,Big,Furniture,1,460.89,460.89,09/22/2024,03:17:59,Cash,Online,25,49,3080.46,17-12-2024,Groceries,No,Bronze,2,No,Mobile,Yes
7125,male,70,Married,None,35511,6,14,2017-05-25,East Travischester,3227e8d8-9c60-481b-8119-1aa71b61d453,34581,Camera,Furniture,5,167.71,838.55,2025/07/26,11:53:18,Wallet,In-Store,51,10,2480.43,25-10-2024,Clothing,Yes,Gold,2,Yes,Mobile,
9270,,48,Single,Masters,131025,5,9,2021-01-01,Cynthiamouth,fba75385-a98a-4cb0-bef5-27fe45e4307a,52157,Growth,Toys,1,393.81,393.81,14 Jan 2024,08:59:23,Debit Card,Online,76,13,2881.26,23-03-2025,Groceries,Yes,,,No,Desktop,
3161,Female,58,,Masters,46740,5,10,2024-04-27,Bryantton,ce920136-ac3a-412f-b65e-6cb58f0d5540,50392,Several,Groceries,3,395.82,1187.46,20 Aug 2023,08:36:20,Debit Card,Online,23,47,3130.66,09-11-2024,Books,No,Silver,5,No,Mobile,No
